Latitude,Longitude,AADT
33.8011,-84.309414,30000
33.81647,-84.30596,25000
33.828938,-84.308498,29000
33.838632,-84.312372,39000
33.851008,-84.315239,28000
33.653611,-84.341275,5570
33.815478,-84.342283,16500
33.8155,-84.32281,15800
33.820127,-84.308087,13400
33.822652,-84.298524,13900
33.829712,-84.279229,9510
33.843901,-84.257747,14700
33.850916,-84.232121,25400
33.856823,-84.209198,21600
33.849211,-84.204635,24600
33.740165,-84.347639,8350
33.74006,-84.336767,7560
33.739981,-84.306987,13600
33.737994,-84.254563,12100
33.73763,-84.241535,18000
33.736857,-84.220903,16300
33.7453,-84.3416,189000
33.7425,-84.3313,168000
33.7338,-84.323,162000
33.7193,-84.3177,153000
33.7125,-84.2916,152000
33.7155,-84.2621,150000
33.7157,-84.25111,134000
33.7131,-84.2292,196000
33.7034,-84.1942,161000
33.82764,-84.34427,241000
33.837,-84.3247,216000
33.851,-84.3015,206000
33.8712,-84.2801,211000
33.883829,-84.268705,219000
33.6655,-84.3463,148000
33.6725,-84.3296,98600
33.679387,-84.316294,152000
33.6948,-84.2893,145000
33.7037,-84.2507,144000
33.7258,-84.2338,185000
33.7452,-84.2309,180000
33.761,-84.2325,187000
33.7742,-84.2359,187000
33.78967,-84.24671,195000
33.8096,-84.2509,193000
33.8233,-84.2527,194000
33.8366,-84.2491,201000
33.85,-84.2468,190000
33.8765,-84.24943,200000
33.807931,-84.271919,50500
33.811181,-84.260987,75200
33.82047,-84.242493,114000
33.8328,-84.2181,106000
33.673107,-84.230419,15600
33.694563,-84.224038,12800
33.686575,-84.310705,23600
33.680151,-84.308077,18900
33.692506,-84.272124,16100
33.657588,-84.331944,11000
33.657921,-84.336369,8750
33.881039,-84.309475,22800
33.86321,-84.309453,24200
33.786453,-84.199487,16600
33.786556,-84.218791,17400
33.762971,-84.210753,17900
33.760496,-84.236696,12500
33.765647,-84.233672,19800
33.771959,-84.246582,5820
33.771696,-84.252303,2970
33.831384,-84.197548,32800
33.843128,-84.200893,36300
33.857278,-84.193063,28200
33.746123,-84.309742,9930
33.69496,-84.190713,7780
33.886596,-84.309734,8280
33.877725,-84.287512,9470
33.866991,-84.289746,18800
33.857123,-84.282813,16300
33.846299,-84.274348,6600
33.861616,-84.325544,10100
33.866384,-84.304803,11300
33.869881,-84.286151,2830
33.88681,-84.22491,24300
33.86662,-84.218058,18000
33.885671,-84.285541,23100
33.882378,-84.279273,29000
33.884737,-84.256491,16100
33.885584,-84.249641,25200
33.884253,-84.234,18100
33.848004,-84.339143,16600
33.835884,-84.342435,37100
33.842481,-84.345206,14700
33.876761,-84.252192,9530
33.858931,-84.253659,9850
33.854812,-84.273313,12600
33.833318,-84.321002,14300
33.840262,-84.298451,6640
33.846518,-84.284397,11000
33.838536,-84.223185,5720
33.821209,-84.23096,19600
33.830425,-84.237079,12100
33.841519,-84.242463,16400
33.835479,-84.289729,4600
33.82348,-84.319229,28900
33.81547,-84.310172,34400
33.812641,-84.297897,29700
33.812309,-84.2803,33100
33.809744,-84.27139,39800
33.801736,-84.266592,11700
33.832973,-84.260491,80
33.8371,-84.256813,9820
33.817579,-84.245845,9980
33.7189,-84.2113,18700
33.746466,-84.1965,19000
33.775418,-84.193172,24200
33.795693,-84.193716,29000
33.814452,-84.19356,22400
33.788395,-84.322806,16400
33.793864,-84.29202,25600
33.792523,-84.287337,18600
33.79378,-84.274325,22200
33.791146,-84.256056,19700
33.785655,-84.2402,15900
33.776163,-84.283692,6100
33.785735,-84.26645,9540
33.798872,-84.258403,13200
33.804601,-84.24409,9430
33.813811,-84.236887,9680
33.819056,-84.228559,18200
33.820585,-84.208719,9710
33.796998,-84.23654,13300
33.761913,-84.341028,15000
33.76034,-84.325151,18400
33.763587,-84.279154,8290
33.745299,-84.260851,18200
33.72451,-84.251429,18900
33.713521,-84.252455,20400
33.731813,-84.242889,7070
33.71768,-84.227956,10300
33.741443,-84.346804,6630
33.734416,-84.340757,6410
33.724996,-84.332432,11900
33.710625,-84.32969,7580
33.697114,-84.323731,5580
33.689009,-84.332203,5670
33.688838,-84.312471,10900
33.694294,-84.304345,16200
33.730081,-84.330066,3830
33.721449,-84.314766,10800
33.71206,-84.304318,10000
33.705799,-84.286722,6490
33.709655,-84.263159,5190
33.708472,-84.235552,11700
33.698327,-84.206658,23300
33.709081,-84.217983,52200
33.713372,-84.216667,33200
33.726004,-84.214084,15000
33.767696,-84.303885,6610
33.769202,-84.276206,5880
33.785387,-84.276403,15400
33.79669,-84.278784,19200
33.85144,-84.252357,5370
33.849411,-84.244612,9350
33.743399,-84.323912,3040
33.728333,-84.319933,6450
33.714924,-84.321605,3460
33.718461,-84.339619,9730
33.71663,-84.343949,7150
33.696856,-84.339385,1600
33.699381,-84.251559,10100
33.690985,-84.271469,11400
33.693358,-84.294026,8240
33.748723,-84.250692,4540
33.675956,-84.215154,3730
33.650396,-84.247855,4810
33.688809,-84.192809,6330
33.769072,-84.224918,14300
33.770871,-84.231553,6830
33.788608,-84.218302,3590
33.809004,-84.217685,8930
33.810569,-84.260563,3610
33.845307,-84.21614,7450
33.833579,-84.214367,8930
33.865139,-84.207997,7120
33.864406,-84.234525,5120
33.874941,-84.23863,4080
33.858687,-84.240001,2460
33.829408,-84.265723,7540
33.78004,-84.332109,4890
33.783416,-84.33522,4420
33.794413,-84.343239,8140
33.804205,-84.322333,12400
33.850215,-84.259828,7860
33.880153,-84.338111,6980
33.871377,-84.280609,2840
33.850798,-84.302397,7050
33.836562,-84.326558,10600
33.673281,-84.224782,2920
33.837482,-84.323279,8140
33.8518,-84.3001,5020
33.869626,-84.282029,4840
33.876506,-84.26216,8060
33.711303,-84.19812,18200
33.801244,-84.342812,8920
33.764841,-84.33452,6560
33.768394,-84.344778,2380
33.761124,-84.341883,6780
33.755799,-84.323188,2710
33.7509,-84.333168,5850
33.751154,-84.32098,4480
33.74987,-84.301383,1940
33.734066,-84.345448,2110
33.763853,-84.317239,7660
33.71407,-84.310455,17400
33.680087,-84.254406,9640
33.773728,-84.214337,2340
33.785359,-84.236744,8240
33.799544,-84.325039,16100
33.875274,-84.25456,13200
33.682952,-84.348821,10200
33.772415,-84.338744,2420
33.763915,-84.320791,2140
33.743906,-84.334777,5970
33.736931,-84.327472,80
33.725604,-84.339639,610
33.71862,-84.322271,300
33.694591,-84.306369,70
33.665375,-84.315804,2470
33.714045,-84.302587,100
33.723149,-84.287254,790
33.73067,-84.305088,140
33.737383,-84.296134,120
33.755,-84.270327,720
33.758021,-84.264604,440
33.748049,-84.277683,40
33.742569,-84.269131,720
33.736661,-84.264953,130
33.736267,-84.281338,290
33.743173,-84.245811,110
33.752559,-84.244019,40
33.739773,-84.240238,120
33.749254,-84.237605,2470
33.728857,-84.203116,210
33.695028,-84.237673,4610
33.785371,-84.209593,400
33.783094,-84.232545,40
33.807004,-84.23632,720
33.78264,-84.243747,1740
33.795446,-84.259116,170
33.786402,-84.282416,180
33.807809,-84.262519,130
33.802744,-84.258168,110
33.821491,-84.217057,70
33.857193,-84.221369,410
33.879999,-84.232125,100
33.820472,-84.290003,1110
33.81548,-84.289322,810
33.798098,-84.291598,210
