Station ID,Functional Class,Latitude,Longitude,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"177-0005",3U : Urban Principal Arterial - Other,31.725720,-84.172220,2023,9270,Actual,165,306,0.442,0.507,0.1269,0.58,11700,CCS
"177-0006",3U : Urban Principal Arterial - Other,31.736065,-84.173959,2023,5050,Actual,364,211,0.455,0.257,0.1055,0.63,6750,Short Term
"177-0007",3U : Urban Principal Arterial - Other,31.742668,-84.177040,2023,7890,Estimated,436,509,0.549,0.447,0.0884,0.53,11400,Short Term
"177-0008",3U : Urban Principal Arterial - Other,31.730436,-84.182486,2023,3580,Estimated,227,233,0.748,0.604,0.105,0.73,4830,Short Term
"177-0012",3U : Urban Principal Arterial - Other,31.781877,-84.195585,2023,6890,Actual,544,562,0.653,0.508,0.0975,0.52,10700,Short Term
"177-0015",3R : Rural Principal Arterial - Other,31.866435,-84.235760,2023,6070,Actual,461,447,0.593,0.28,0.0979,0.5,7650,Short Term
"177-0018",5R : Rural Major Collector,31.901285,-84.252673,2023,1240,Actual,,,,,0.0837,0.62,1560,Short Term
"177-0021",5R : Rural Major Collector,31.903799,-84.254661,2023,580,Estimated,,,,,0.1033,0.68,730,Short Term
"177-0023",4R : Rural Minor Arterial,31.747765,-84.274084,2023,1510,Actual,192,74,1.391,0.331,0.1066,0.57,1900,Short Term
"177-0025",4R : Rural Minor Arterial,31.719029,-84.231211,2023,1150,Actual,114,92,1.74,0.609,0.1348,0.72,1450,Short Term
"177-0027",4U : Urban Minor Arterial,31.714182,-84.193505,2023,3540,Actual,276,165,0.537,0.254,0.1009,0.52,4460,Short Term
"177-0029",4U : Urban Minor Arterial,31.721039,-84.179554,2023,1890,Estimated,108,115,0.653,0.272,0.1055,0.59,2380,Short Term
"177-0031",3U : Urban Principal Arterial - Other,31.720836,-84.174875,2023,5940,Estimated,376,346,0.915,0.525,0.1437,0.74,7480,Short Term
"177-0032",4U : Urban Minor Arterial,31.731506,-84.161492,2023,4000,Actual,208,73,0.626,0.15,0.0988,0.57,5040,Short Term
"177-0034",4U : Urban Minor Arterial,31.732120,-84.134775,2023,3380,Estimated,304,227,0.983,0.566,0.154,0.73,4260,Short Term
"177-0036",4R : Rural Minor Arterial,31.730145,-84.102900,2023,1750,Actual,167,224,0.743,0.915,0.1029,0.5,2560,Short Term
"177-0038",4R : Rural Minor Arterial,31.726301,-84.041675,2023,4460,Estimated,326,318,0.548,0.137,0.1018,0.51,6170,Short Term
"177-0041",3R : Rural Principal Arterial - Other,31.675280,-84.293860,2023,15600,Actual,313,2051,0.237,1.299,0.1003,0.52,20400,CCS
"177-0043",3U : Urban Principal Arterial - Other,31.640919,-84.252643,2023,23000,Estimated,1253,2262,0.355,0.609,0.095,0.54,29000,Short Term
"177-0045",4U : Urban Minor Arterial,31.632530,-84.115654,2023,11500,Actual,526,152,0.342,0.105,0.1079,0.66,14500,Short Term
"177-0047",4U : Urban Minor Arterial,31.658661,-84.087872,2023,5200,Estimated,352,139,0.523,0.155,0.0961,0.61,6550,Short Term
"177-0049",4R : Rural Minor Arterial,31.703388,-84.054491,2023,3620,Actual,249,163,0.469,0.193,0.0963,0.55,5750,Short Term
"177-0052",5R : Rural Major Collector,31.868859,-84.303935,2023,1120,Actual,,,,,0.0841,0.5,1410,Short Term
"177-0056",5R : Rural Major Collector,31.903752,-84.251068,2023,970,Actual,80,170,0.207,0.414,0.0943,0.55,1220,Short Term
"177-0058",5R : Rural Major Collector,31.893448,-84.205694,2023,730,Estimated,74,132,1.392,1.671,0.117,0.51,920,Short Term
"177-0061",5R : Rural Major Collector,31.904833,-84.154023,2023,710,Actual,,,,,0.0826,0.65,1040,Short Term
"177-0063",4U : Urban Minor Arterial,31.644101,-84.170569,2023,4190,Estimated,,,,,0.119,0.64,5350,Short Term
"177-0065",4U : Urban Minor Arterial,31.759424,-84.150839,2023,1690,Actual,127,54,0.532,0,0.1181,0.58,2130,Short Term
"177-0069",5R : Rural Major Collector,31.786325,-84.132099,2023,1700,Estimated,168,74,0.955,0.239,0.1081,0.59,2140,Short Term
"177-0072",5R : Rural Major Collector,31.855651,-84.079722,2023,910,Actual,,,,,0.1096,0.52,1150,Short Term
"177-0076",5R : Rural Major Collector,31.837383,-84.136029,2023,440,Actual,39,12,0.913,0,0.105,0.52,550,Short Term
"177-0081",4U : Urban Minor Arterial,31.650789,-84.196854,2023,2060,Actual,143,17,0.825,0,0.1442,0.54,2940,Short Term
"177-0083",5R : Rural Major Collector,31.693255,-84.216960,2023,1770,Actual,,,,,0.1392,0.65,2230,Short Term
"177-0085",5R : Rural Major Collector,31.715051,-84.234876,2023,1040,Estimated,,,,,0.1298,0.69,1310,Short Term
"177-0087",5R : Rural Major Collector,31.675934,-84.257678,2023,3210,Estimated,191,70,0.759,0.221,0.1843,0.8,4670,Short Term
"177-0089",5R : Rural Major Collector,31.705155,-84.208214,2023,3510,Actual,,,,,0.1807,0.73,5600,Short Term
"177-0092",5R : Rural Major Collector,31.778491,-84.273736,2023,230,Estimated,,,,,0.1247,0.77,290,Short Term
"177-0094",5U : Urban Major Collector,31.765849,-84.242432,2023,650,Actual,44,9,1.233,0.154,0.1788,0.75,830,Short Term
"177-0096",5R : Rural Major Collector,31.778800,-84.076600,2023,310,Actual,,,,,0.1126,0.59,390,Short Term
"177-0098",5R : Rural Major Collector,31.754461,-84.038811,2023,470,Estimated,,,,,0.1048,0.55,590,Short Term
"177-0103",5R : Rural Major Collector,31.840238,-84.008136,2023,250,Actual,36,17,0.395,0.395,0.1263,0.56,320,Short Term
"177-0112",5U : Urban Major Collector,31.647975,-84.144095,2023,2650,Estimated,,,,,0.1423,0.52,3340,Short Term
"177-0114",5U : Urban Major Collector,31.721318,-84.143144,2023,3770,Estimated,,,,,0.1043,0.61,4950,Short Term
"177-0116",4U : Urban Minor Arterial,31.622538,-84.206785,2023,12900,Actual,,,,,0.101,0.52,27100,Short Term
"177-8001",7R : Rural Local,31.748514,-84.114690,2023,390,Estimated,,,,,,,500,Short Term
"177-8005",7R : Rural Local,31.754882,-84.065169,2023,40,Estimated,,,,,,,50,Short Term
"177-8007",7R : Rural Local,31.649116,-84.051217,2023,160,Estimated,,,,,0.1368,0.68,200,Short Term
"177-8011",7R : Rural Local,31.690271,-84.056010,2023,30,Estimated,,,,,,,40,Short Term
"177-8013",7U : Urban Local,31.623828,-84.198962,2023,30,Estimated,,,,,0.2352,0.57,40,Short Term
"177-8019",7U : Urban Local,31.624573,-84.189061,2023,1120,Estimated,,,,,,,1430,Short Term
"177-8021",7U : Urban Local,31.624481,-84.117977,2023,140,Estimated,,,,,0.1522,0.65,180,Short Term
"177-8022",7R : Rural Local,31.821624,-84.173058,2023,340,Estimated,43,3,2.241,0,0.1505,0.72,430,Short Term
"177-8023",6R : Rural Minor Collector,31.903837,-84.039624,2023,400,Estimated,44,17,1.265,0.759,0.1341,0.74,500,Short Term
"177-8025",7R : Rural Local,31.911725,-84.028095,2023,90,Actual,15,5,2.285,1.143,0.1371,0.75,110,Short Term
"177-8026",7R : Rural Local,31.899451,-84.313968,2023,80,Estimated,5,,3.797,0,0.1899,0.53,100,Short Term
"177-8028",7R : Rural Local,31.694983,-84.278482,2023,740,Actual,98,16,1.885,0.135,0.1185,0.52,1520,Short Term
"177-8030",7R : Rural Local,31.798843,-84.013999,2023,10,Actual,1,0,0,0,0.29,0.6,20,Short Term
"177-8031",7U : Urban Local,31.674949,-84.191889,2023,1130,Estimated,62,15,0.198,0.494,0.1582,0.56,1970,Short Term
"177-8033",5R : Rural Major Collector,31.763323,-84.277992,2023,590,Actual,73,17,0.675,0,0.1383,0.55,960,Short Term
"177-r501",2U : Urban Principal Arterial - Freeways & Expressways,31.623875,-84.231944,2023,6350,Actual,,,,,0.1,1,8000,Short Term
"177-r504",2U : Urban Principal Arterial - Freeways & Expressways,31.623396,-84.232489,2023,3630,Actual,,,,,0.1025,1,4570,Short Term
"179-0001",4R : Rural Minor Arterial,31.645477,-81.393252,2023,2610,Estimated,,,,,0.0925,0.71,3680,Short Term
"179-0003",4R : Rural Minor Arterial,31.710451,-81.416799,2023,2870,Estimated,256,369,1.065,0.781,0.1012,0.58,3620,Short Term
"179-0007",4R : Rural Minor Arterial,31.758466,-81.444396,2023,3960,Actual,250,381,0.404,0.556,0.1084,0.63,5170,Short Term
"179-0010",4U : Urban Minor Arterial,31.848730,-81.595670,2023,770,Estimated,,,,,0.133,0.66,970,Short Term
"179-0012",4R : Rural Minor Arterial,31.775079,-81.444393,2023,7440,Actual,540,652,0.699,0.78,0.1106,0.64,12000,Short Term
"179-0014",4R : Rural Minor Arterial,31.816492,-81.430033,2023,7760,Estimated,505,536,0.578,0.656,0.0996,0.55,11100,Short Term
"179-0018",4R : Rural Minor Arterial,31.854260,-81.403480,2023,6540,Actual,110,305,0.245,1.04,0.106,0.68,8930,CCS
"179-0021",4U : Urban Minor Arterial,31.857032,-81.601052,2023,7620,Actual,195,17,0.275,0.026,0.1093,0.53,12300,Short Term
"179-0023",4U : Urban Minor Arterial,31.856370,-81.597290,2023,9760,Estimated,234,18,0.196,0,0.0954,0.69,12300,Short Term
"179-0025",4U : Urban Minor Arterial,31.855036,-81.589867,2023,11800,Actual,287,16,0.162,0,0.097,0.61,20500,Short Term
"179-0027",4U : Urban Minor Arterial,31.854155,-81.584930,2023,14000,Estimated,400,30,0.302,0.014,0.097,0.53,26400,Short Term
"179-0029",4U : Urban Minor Arterial,31.840957,-81.595405,2023,770,Actual,19,3,0.26,0,0.1223,0.56,970,Short Term
"179-0032",4U : Urban Minor Arterial,31.844997,-81.596865,2023,10900,Estimated,196,9,0.111,0.009,0.098,0.62,14200,Short Term
"179-0034",5U : Urban Major Collector,31.847347,-81.593729,2023,670,Estimated,24,1,0.153,0,0.1573,0.64,840,Short Term
"179-0037",5U : Urban Major Collector,31.805161,-81.605239,2023,3580,Estimated,125,4,0.258,0,0.0955,0.56,6190,Short Term
"179-0038",3U : Urban Principal Arterial - Other,31.770718,-81.638599,2023,15300,Actual,843,984,0.411,0.353,0.0877,0.64,23000,Short Term
"179-0041",3U : Urban Principal Arterial - Other,31.778826,-81.623382,2023,17500,Estimated,722,704,0.207,0.126,0.0871,0.6,29700,Short Term
"179-0045",3U : Urban Principal Arterial - Other,31.791864,-81.607971,2023,21900,Actual,903,602,0.233,0.105,0.0868,0.59,30700,Short Term
"179-0049",3U : Urban Principal Arterial - Other,31.814386,-81.601768,2023,26100,Actual,897,512,0.218,0.065,0.0805,0.64,33900,Short Term
"179-0052",3U : Urban Principal Arterial - Other,31.836623,-81.595686,2023,36100,Estimated,1098,573,0.145,0.045,0.082,0.6,45500,Short Term
"179-0054",3U : Urban Principal Arterial - Other,31.839785,-81.594817,2023,33800,Actual,1132,666,0.154,0.056,0.083,0.55,44200,Short Term
"179-0056",3U : Urban Principal Arterial - Other,31.842862,-81.593968,2023,33300,Estimated,1063,641,0.2,0.07,0.0769,0.53,42000,Short Term
"179-0058",3U : Urban Principal Arterial - Other,31.850112,-81.586103,2023,33300,Actual,1107,711,0.18,0.063,0.0865,0.51,42000,Short Term
"179-0061",3U : Urban Principal Arterial - Other,31.858050,-81.567438,2023,33200,Estimated,1171,792,0.191,0.094,0.0877,0.5,47600,Short Term
"179-0063",3U : Urban Principal Arterial - Other,31.839610,-81.540261,2023,30400,Actual,1155,890,0.244,0.102,0.0886,0.53,46600,Short Term
"179-0065",4U : Urban Minor Arterial,31.804195,-81.474265,2023,8540,Estimated,427,170,0.307,0.13,0.1078,0.5,10800,Short Term
"179-0067",4R : Rural Minor Arterial,31.799045,-81.448617,2023,7740,Actual,295,180,0.271,0.103,0.0991,0.53,9750,Short Term
"179-0069",4R : Rural Minor Arterial,31.799782,-81.425997,2023,12600,Estimated,677,373,0.615,0.332,0.1279,0.55,19800,Short Term
"179-0072",4R : Rural Minor Arterial,31.783580,-81.387380,2023,9290,Actual,542,361,0.398,0.291,0.1222,0.61,15200,CCS
"179-0074",5R : Rural Major Collector,31.769032,-81.357835,2023,3220,Estimated,,,,,0.104,0.7,4670,Short Term
"179-0078",5R : Rural Major Collector,31.733242,-81.310983,2023,2000,Actual,,,,,0.104,0.69,3300,Short Term
"179-0081",4U : Urban Minor Arterial,31.848191,-81.596133,2023,7830,Estimated,,,,,0.0972,0.61,9870,Short Term
"179-0085",4U : Urban Minor Arterial,31.850945,-81.599348,2023,2790,Estimated,,,,,0.112,0.54,3520,Short Term
"179-0087",4U : Urban Minor Arterial,31.854283,-81.602986,2023,2180,Estimated,,,,,0.095,0.55,2750,Short Term
"179-0089",4U : Urban Minor Arterial,31.839768,-81.596758,2023,16200,Estimated,380,68,0.093,0.025,0.089,0.61,20400,Short Term
"179-0092",4U : Urban Minor Arterial,31.841683,-81.598657,2023,18900,Estimated,317,40,0.151,0.023,0.0932,0.52,23800,Short Term
"179-0094",4U : Urban Minor Arterial,31.844397,-81.601386,2023,19000,Estimated,556,26,0.223,0.011,0.0884,0.56,23900,Short Term
"179-0098",4U : Urban Minor Arterial,31.852531,-81.606307,2023,21100,Estimated,486,19,0.205,0.005,0.098,0.63,26600,Short Term
"179-0099",4U : Urban Minor Arterial,31.856421,-81.606986,2023,17200,Actual,295,15,0.163,0.017,0.0945,0.69,21700,Short Term
"179-0103",4U : Urban Minor Arterial,31.892241,-81.632035,2023,3760,Estimated,237,296,0.563,0.456,0.1292,0.74,4740,Short Term
"179-0105",4U : Urban Minor Arterial,31.902057,-81.634588,2023,2720,Actual,201,119,0.662,0.515,0.1136,0.65,3820,Short Term
"179-0109",4U : Urban Minor Arterial,31.899272,-81.639543,2023,2320,Actual,197,259,0.517,0.905,0.1117,0.75,3110,Short Term
"179-0112",4U : Urban Minor Arterial,31.896505,-81.617200,2023,8510,Actual,402,312,0.376,0.094,0.0937,0.56,10700,Short Term
"179-0114",4U : Urban Minor Arterial,31.913294,-81.581173,2023,6170,Actual,181,215,0.211,0.178,0.1155,0.61,7770,Short Term
"179-0116",5R : Rural Major Collector,31.858292,-81.718106,2023,4750,Estimated,208,139,0.427,0.064,0.0971,0.6,14300,Short Term
"179-0118",5U : Urban Major Collector,31.816085,-81.671877,2023,6410,Estimated,284,146,0.558,0.098,0.0943,0.65,8080,Short Term
"179-0121",4U : Urban Minor Arterial,31.819876,-81.640193,2023,22000,Actual,653,132,0.204,0.036,0.0972,0.65,36100,Short Term
"179-0123",4U : Urban Minor Arterial,31.833590,-81.611255,2023,20600,Estimated,643,64,0.132,0,0.0927,0.61,26000,Short Term
"179-0125",4U : Urban Minor Arterial,31.843735,-81.597521,2023,8700,Actual,203,13,0.23,0.057,0.0947,0.63,11000,Short Term
"179-0127",3U : Urban Principal Arterial - Other,31.832450,-81.485965,2023,21300,Estimated,1012,958,0.331,0.265,0.0832,0.54,31300,Short Term
"179-0129",3R : Rural Principal Arterial - Other,31.872139,-81.421244,2023,21400,Actual,1312,1048,0.308,0.187,0.0848,0.57,37600,Short Term
"179-0132",1R : Rural Principal Arterial - Interstate,31.648595,-81.397384,2023,59700,Calculated,,,,,,,92600,Short Term
"179-0134",1R : Rural Principal Arterial - Interstate,31.716100,-81.389400,2023,60100,Calculated,,,,,,,93100,Short Term
"179-0136",1U : Urban Principal Arterial - Interstate,31.804500,-81.368300,2023,65400,Calculated,,,,,,,107000,Short Term
"179-0138",5R : Rural Major Collector,31.768289,-81.451532,2023,1370,Actual,110,23,0.438,0.292,0.0905,0.56,1730,Short Term
"179-0141",4U : Urban Minor Arterial,31.763112,-81.608163,2023,3640,Estimated,,,,,0.0955,0.51,6000,Short Term
"179-0145",4U : Urban Minor Arterial,31.781558,-81.606038,2023,5270,Estimated,,,,,0.1019,0.52,6690,Short Term
"179-0147",4U : Urban Minor Arterial,31.778350,-81.634164,2023,8300,Actual,407,137,0.554,0.12,0.0954,0.61,11500,Short Term
"179-0149",4U : Urban Minor Arterial,31.762815,-81.618484,2023,5030,Actual,313,297,0.517,0.278,0.1139,0.69,9380,Short Term
"179-0152",5U : Urban Major Collector,31.759579,-81.561616,2023,5330,Estimated,320,413,0.597,0.578,0.127,0.71,13200,Short Term
"179-0154",5R : Rural Major Collector,31.746107,-81.458097,2023,2520,Estimated,,,,,0.1533,0.72,3180,Short Term
"179-0156",4U : Urban Minor Arterial,31.806661,-81.660701,2023,5840,Actual,172,37,0.342,0.051,0.1068,0.71,8900,Short Term
"179-0163",4U : Urban Minor Arterial,31.839011,-81.598206,2023,9010,Estimated,189,12,0.078,0,0.0906,0.52,11400,Short Term
"179-0167",4U : Urban Minor Arterial,31.843781,-81.595666,2023,1810,Estimated,,,,,0.0918,0.62,2280,Short Term
"179-0172",7U : Urban Local,31.846923,-81.600338,2023,1570,Estimated,35,1,0.393,0,0.0918,0.56,3050,Short Term
"179-0174",5U : Urban Major Collector,31.852275,-81.598055,2023,360,Estimated,8,1,0,0,0.121,0.55,480,Short Term
"179-0176",5U : Urban Major Collector,31.852955,-81.597242,2023,300,Actual,7,0,0.333,0,0.1299,0.51,380,Short Term
"179-0181",5U : Urban Major Collector,31.853572,-81.599516,2023,1140,Actual,68,2,0.088,0,0.127,0.68,1440,Short Term
"179-0183",4U : Urban Minor Arterial,31.851830,-81.595217,2023,5530,Estimated,110,9,0.237,0.018,0.1027,0.59,8000,Short Term
"179-0185",4U : Urban Minor Arterial,31.854091,-81.594664,2023,5370,Estimated,88,6,0.206,0.019,0.1048,0.58,7510,Short Term
"179-0186",7U : Urban Local,31.861682,-81.595744,2023,3610,Estimated,55,6,0.114,0,0.1261,0.81,4550,Short Term
"179-0187",5U : Urban Major Collector,31.849470,-81.593104,2023,3570,Estimated,,,,,0.105,0.64,6880,Short Term
"179-0189",5U : Urban Major Collector,31.848908,-81.590160,2023,4070,Estimated,91,5,0.05,0,0.0911,0.63,6690,Short Term
"179-0194",5U : Urban Major Collector,31.854367,-81.591402,2023,1030,Actual,65,2,0.58,0,0.1314,0.66,1300,Short Term
"179-0196",5U : Urban Major Collector,31.847103,-81.598267,2023,1060,Actual,17,1,0,0,0.1364,0.63,1620,Short Term
"179-0198",4U : Urban Minor Arterial,31.846306,-81.593005,2023,4510,Estimated,88,4,0.223,0,0.0841,0.56,5680,Short Term
"179-0201",5U : Urban Major Collector,31.845961,-81.591466,2023,4030,Estimated,92,7,0.076,0.051,0.102,0.51,6260,Short Term
"179-0216",5U : Urban Major Collector,31.812569,-81.605836,2023,10500,Actual,252,19,0.219,0,0.0886,0.59,13400,Short Term
"179-0218",5U : Urban Major Collector,31.794119,-81.615062,2023,5940,Estimated,,,,,0.1,0.55,7480,Short Term
"179-0221",5U : Urban Major Collector,31.843730,-81.621481,2023,15300,Estimated,241,15,0.161,0,0.1003,0.74,20300,Short Term
"179-0227",5R : Rural Major Collector,31.798028,-81.472872,2023,710,Estimated,,,,,0.1028,0.53,910,Short Term
"179-0229",5U : Urban Major Collector,31.819386,-81.619043,2023,3710,Estimated,116,3,0.221,0,0.0937,0.64,4670,Short Term
"179-0231",4U : Urban Minor Arterial,31.830582,-81.604194,2023,1570,Estimated,,,,,0.1039,0.61,1980,Short Term
"179-0233",5U : Urban Major Collector,31.849417,-81.581805,2023,3400,Estimated,,,,,0.0886,0.57,4280,Short Term
"179-0235",5U : Urban Major Collector,31.814159,-81.612839,2023,3200,Estimated,,,,,0.0938,0.58,5140,Short Term
"179-7443",5R : Rural Major Collector,31.767431,-81.449674,2023,830,Actual,,,,,0.1225,0.66,1050,Short Term
"179-7444",5U : Urban Major Collector,31.865830,-81.568500,2023,5130,Estimated,,,,,0.1104,0.71,6460,Short Term
"179-7460",5U : Urban Major Collector,31.847988,-81.601384,2023,990,Estimated,,,,,0.0968,0.53,1250,Short Term
"179-7461",5U : Urban Major Collector,31.858941,-81.593415,2023,530,Estimated,6,1,0,0,0.1304,0.66,700,Short Term
"179-7462",7U : Urban Local,31.840917,-81.582584,2023,3380,Estimated,,,,,0.1405,0.63,9020,Short Term
"179-7464",5U : Urban Major Collector,31.858726,-81.590356,2023,550,Estimated,,,,,0.1428,0.57,690,Short Term
"179-8005",7U : Urban Local,31.843545,-81.692428,2023,190,Estimated,,,,,0.1408,0.56,240,Short Term
"179-8011",7R : Rural Local,31.798056,-81.455831,2023,350,Estimated,9,1,0,0,0.1142,0.62,440,Short Term
"179-8015",7U : Urban Local,31.856087,-81.598024,2023,30,Estimated,,,,,,,40,Short Term
"179-8017",7U : Urban Local,31.794228,-81.607902,2023,240,Estimated,,,,,0.095,0.57,300,Short Term
"179-8021",7U : Urban Local,31.822093,-81.607866,2023,3520,Estimated,,,,,,,4520,Short Term
"179-8025",7U : Urban Local,31.814630,-81.602360,2023,420,Estimated,,,,,,,540,Short Term
"179-8029",7U : Urban Local,31.837086,-81.621069,2023,630,Estimated,,,,,,,790,Short Term
"179-8031",7U : Urban Local,31.826714,-81.593803,2023,1700,Estimated,,,,,0.0916,0.56,2440,Short Term
"179-8035",7U : Urban Local,31.833542,-81.618547,2023,1320,Estimated,,,,,,,1690,Short Term
"179-8037",7U : Urban Local,31.814283,-81.606323,2023,70,Estimated,4,0,1.505,0,0.1355,0.67,90,Short Term
"179-8038",7R : Rural Local,31.700145,-81.282880,2023,170,Actual,10,2,0,0,0.1506,0.52,300,Short Term
"179-8040",7R : Rural Local,31.814700,-81.362000,2023,870,Actual,68,14,0.914,0.114,0.1017,0.71,1100,Short Term
"179-8041",7U : Urban Local,31.812146,-81.522620,2023,970,Estimated,60,5,0.424,0.106,0.157,0.61,1220,Short Term
"179-8042",6R : Rural Minor Collector,31.699803,-81.423912,2023,220,Estimated,16,14,0.482,0,0.1157,0.54,280,Short Term
"179-8043",7R : Rural Local,31.698692,-81.400664,2023,80,Estimated,11,1,1.402,0,0.1682,0.5,100,Short Term
"179-8044",7R : Rural Local,31.900085,-81.423056,2023,360,Actual,42,6,1.393,0.279,0.1198,0.75,450,Short Term
"179-r001",1R : Rural Principal Arterial - Interstate,31.651270,-81.395800,2023,1150,Actual,115,98,0.911,0.607,0.0788,1,1450,Short Term
"179-r002",1R : Rural Principal Arterial - Interstate,31.655140,-81.393990,2023,1230,Actual,,,,,0.0778,1,1660,Short Term
"179-r009",1R : Rural Principal Arterial - Interstate,31.775969,-81.378017,2023,1270,Estimated,,,,,0.0873,1,1860,Short Term
"179-r010",1R : Rural Principal Arterial - Interstate,31.781333,-81.377719,2023,4050,Estimated,,,,,0.0961,1,6200,Short Term
"179-r601",1R : Rural Principal Arterial - Interstate,31.655437,-81.394663,2023,1110,Actual,,,,,0.0956,1,1400,Short Term
"179-r602",1R : Rural Principal Arterial - Interstate,31.652488,-81.395928,2023,840,Actual,,,,,0.0833,1,1060,Short Term
"179-r609",1R : Rural Principal Arterial - Interstate,31.780140,-81.379699,2023,3610,Estimated,,,,,0.0892,1,5900,Short Term
"179-r610",1R : Rural Principal Arterial - Interstate,31.775162,-81.379566,2023,1140,Estimated,,,,,0.0758,1,1570,Short Term
"181-0101",4R : Rural Minor Arterial,33.796290,-82.479307,2023,2860,Estimated,,,,,0.0877,0.55,3600,Short Term
"181-0103",5R : Rural Major Collector,33.659602,-82.485126,2023,1550,Actual,43,183,0.259,0.517,0.1016,0.6,1990,Short Term
"181-0105",5R : Rural Major Collector,33.765676,-82.469215,2023,1600,Actual,,,,,0.0912,0.54,2270,Short Term
"181-0107",5R : Rural Major Collector,33.787728,-82.475771,2023,2590,Actual,,,,,0.0925,0.52,3260,Short Term
"181-0109",5R : Rural Major Collector,33.795287,-82.477629,2023,1430,Estimated,,,,,0.1101,0.58,1800,Short Term
"181-0111",4R : Rural Minor Arterial,33.802290,-82.475274,2023,2860,Actual,,,,,0.0918,0.5,3600,Short Term
"181-0113",4R : Rural Minor Arterial,33.804711,-82.468067,2023,3050,Estimated,,,,,0.0907,0.54,3840,Short Term
"181-0115",4R : Rural Minor Arterial,33.844167,-82.412509,2023,2360,Actual,202,249,1.06,1.06,0.1004,0.52,2970,Short Term
"181-0116",5R : Rural Major Collector,33.905782,-82.603178,2023,420,Actual,,,,,0.1171,0.63,830,Short Term
"181-0118",4R : Rural Minor Arterial,33.849900,-82.397100,2023,2670,Estimated,279,264,0.954,0.648,0.0923,0.55,3360,Short Term
"181-0119",4R : Rural Minor Arterial,33.740450,-82.385039,2023,4900,Estimated,,,,,0.0933,0.6,6170,Short Term
"181-0122",4R : Rural Minor Arterial,33.785800,-82.432904,2023,4190,Actual,,,,,0.0948,0.55,5280,Short Term
"181-0124",4R : Rural Minor Arterial,33.788462,-82.464110,2023,3460,Estimated,295,81,1.088,0.206,0.1032,0.53,4360,Short Term
"181-0126",4R : Rural Minor Arterial,33.788916,-82.473104,2023,4800,Actual,,,,,0.105,0.56,6640,Short Term
"181-0128",4R : Rural Minor Arterial,33.789090,-82.478486,2023,5390,Actual,,,,,0.1082,0.52,6790,Short Term
"181-0130",4R : Rural Minor Arterial,33.786001,-82.481878,2023,2230,Estimated,,,,,0.0974,0.51,2810,Short Term
"181-0132",4R : Rural Minor Arterial,33.746494,-82.523143,2023,1630,Actual,,,,,0.0857,0.53,2050,Short Term
"181-0134",7R : Rural Local,33.826140,-82.473880,2023,820,Actual,62,41,0.613,0.123,0.1092,0.52,1030,Short Term
"181-0136",4R : Rural Minor Arterial,33.849217,-82.489855,2023,1100,Estimated,119,80,0.832,0.185,0.1045,0.53,2330,Short Term
"181-0138",4R : Rural Minor Arterial,33.890953,-82.568162,2023,830,Actual,56,47,1.088,0.483,0.1148,0.53,1250,Short Term
"181-0141",4R : Rural Minor Arterial,33.921793,-82.620625,2023,750,Estimated,61,88,0.272,0.543,0.0951,0.5,1130,Short Term
"181-0143",4R : Rural Minor Arterial,33.964220,-82.621314,2023,890,Actual,63,104,0.564,1.41,0.1093,0.52,1180,Short Term
"181-0145",5R : Rural Major Collector,33.753782,-82.335392,2023,770,Actual,,,,,0.0969,0.56,970,Short Term
"181-0147",5R : Rural Major Collector,33.731054,-82.490339,2023,570,Actual,49,32,1.056,0.528,0.1514,0.67,720,Short Term
"181-0149",5R : Rural Major Collector,33.715527,-82.432719,2023,1070,Actual,111,49,0.745,0.652,0.1043,0.57,1480,Short Term
"181-0152",5R : Rural Major Collector,33.750329,-82.391009,2023,1400,Actual,,,,,0.0947,0.6,1760,Short Term
"181-0154",5R : Rural Major Collector,33.786834,-82.380542,2023,810,Actual,,,,,0.096,0.7,1020,Short Term
"181-0156",5R : Rural Major Collector,33.818962,-82.407458,2023,960,Estimated,115,58,1.057,1.162,0.1025,0.6,1210,Short Term
"181-0158",5R : Rural Major Collector,33.675932,-82.491659,2023,600,Estimated,,,,,0.079,0.66,1230,Short Term
"181-0161",5R : Rural Major Collector,33.689946,-82.465670,2023,440,Estimated,35,26,1.139,0,0.1185,0.63,560,Short Term
"181-0163",7R : Rural Local,33.781674,-82.532711,2023,200,Estimated,27,27,1.532,1.532,0.1277,0.52,280,Short Term
"181-0164",6R : Rural Minor Collector,33.818764,-82.529504,2023,330,Actual,25,12,1.206,0.603,0.1116,0.68,420,Short Term
"181-0165",5R : Rural Major Collector,33.837108,-82.541428,2023,130,Estimated,,,,,0.1443,0.74,210,Short Term
"181-0169",5R : Rural Major Collector,33.850813,-82.452263,2023,190,Estimated,,,,,0.1344,0.59,240,Short Term
"181-0172",5R : Rural Major Collector,33.960988,-82.626871,2023,30,Estimated,4,2,3.235,0,0.2912,0.56,40,Short Term
"181-0178",5R : Rural Major Collector,33.774547,-82.391199,2023,610,Estimated,,,,,0.1161,0.72,770,Short Term
"181-0185",5R : Rural Major Collector,33.724895,-82.365565,2023,900,Estimated,34,25,0.239,0.119,0.1004,0.7,1130,Short Term
