Station ID,Functional Class,Latitude,Longitude,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"091-8048",7R : Rural Local,32.049236,-83.100490,2023,480,Estimated,47,5,1.72,0,0.1806,0.8,1300,Short Term
"091-8050",7R : Rural Local,32.110900,-83.114800,2023,200,Estimated,7,1,1.104,0,0.1435,0.58,250,Short Term
"091-8051",7R : Rural Local,32.384783,-83.238275,2023,310,Estimated,6,1,0,0,0.1192,0.8,390,Short Term
"091-8052",7U : Urban Local,32.143900,-83.152200,2023,60,Estimated,2,0,0,0,0.1663,0.56,80,Short Term
"091-8053",7R : Rural Local,32.022115,-83.218246,2023,210,Estimated,4,5,0,1.471,0.1765,0.8,280,Short Term
"091-8054",6R : Rural Minor Collector,32.093458,-83.245382,2023,330,Estimated,18,2,0.311,0,0.1118,0.8,420,Short Term
"091-8055",7R : Rural Local,32.233800,-83.338800,2023,110,Estimated,8,10,2.021,3.032,0.1516,0.6,290,Short Term
"091-8056",7R : Rural Local,32.243694,-83.186391,2023,120,Estimated,3,0,0,0,0.1277,0.71,150,Short Term
"091-8057",7R : Rural Local,32.388922,-83.211821,2023,140,Estimated,9,2,0.043,0.016,0.1519,0.57,180,Short Term
"091-8058",7R : Rural Local,32.415091,-83.154080,2023,180,Estimated,6,0,1.226,0,0.1287,0.57,230,Short Term
"091-8059",7R : Rural Local,32.194602,-83.077798,2023,70,Estimated,7,0,4.762,0,0.1587,0.8,90,Short Term
"091-8060",7R : Rural Local,32.142108,-83.001805,2023,240,Estimated,22,12,1.322,1.322,0.1278,0.8,480,Short Term
"091-8062",7R : Rural Local,32.146900,-83.099800,2023,210,Estimated,15,0,0.525,0,0.1364,0.65,540,Short Term
"091-8063",6R : Rural Minor Collector,32.156393,-82.918125,2023,110,Estimated,3,3,0.966,0.966,0.1159,0.58,140,Short Term
"093-0001",4R : Rural Minor Arterial,32.087719,-83.795765,2023,2900,Actual,161,167,0.448,0.379,0.099,0.53,3650,Short Term
"093-0003",4R : Rural Minor Arterial,32.100185,-83.798632,2023,2810,Estimated,291,49,1.158,0.29,0.1271,0.56,3540,Short Term
"093-0005",4R : Rural Minor Arterial,32.146993,-83.798930,2023,2340,Actual,278,95,2.097,0.214,0.1271,0.62,2950,Short Term
"093-0009",4R : Rural Minor Arterial,32.214807,-83.759346,2023,2130,Estimated,175,47,0.955,0.143,0.1274,0.61,2680,Short Term
"093-0013",4R : Rural Minor Arterial,32.240144,-83.748928,2023,2500,Actual,188,83,0.24,0.16,0.1067,0.64,3150,Short Term
"093-0015",4R : Rural Minor Arterial,32.253762,-83.739742,2023,3820,Estimated,240,95,0.586,0.24,0.0992,0.52,4980,Short Term
"093-0017",4R : Rural Minor Arterial,32.267699,-83.735916,2023,1490,Actual,143,95,0.536,0.201,0.0964,0.53,1880,Short Term
"093-0019",4R : Rural Minor Arterial,32.283668,-83.746409,2023,760,Estimated,88,51,1.075,0.806,0.1182,0.58,1180,Short Term
"093-0021",4R : Rural Minor Arterial,32.085538,-83.920901,2023,1080,Actual,60,98,0.37,0.555,0.1148,0.5,1620,Short Term
"093-0023",4R : Rural Minor Arterial,32.086523,-83.828257,2023,1420,Estimated,144,163,1.076,0.932,0.1262,0.52,2420,Short Term
"093-0025",4R : Rural Minor Arterial,32.095424,-83.809518,2023,3450,Actual,292,435,0.782,0.492,0.0909,0.57,4770,Short Term
"093-0027",4R : Rural Minor Arterial,32.090870,-83.791080,2023,5380,Estimated,419,372,0.644,0.379,0.0966,0.51,8160,Short Term
"093-0029",4R : Rural Minor Arterial,32.118843,-83.767728,2023,2070,Actual,146,202,0.53,0.482,0.1075,0.57,2610,Short Term
"093-0031",4R : Rural Minor Arterial,32.123556,-83.750692,2023,1740,Estimated,189,415,1.109,1.927,0.0911,0.58,3650,Short Term
"093-0035",4R : Rural Minor Arterial,32.156510,-83.641635,2023,1390,Estimated,112,338,0.733,2.052,0.107,0.56,2970,Short Term
"093-0037",4R : Rural Minor Arterial,32.112094,-83.849043,2023,2160,Actual,181,276,0.603,0.881,0.0881,0.57,2940,Short Term
"093-0039",4R : Rural Minor Arterial,32.171351,-83.889882,2023,1840,Estimated,147,254,1.163,1.052,0.093,0.53,2610,Short Term
"093-0041",4R : Rural Minor Arterial,32.198785,-83.905970,2023,2140,Actual,175,260,0.655,0.468,0.0945,0.51,2930,Short Term
"093-0043",4R : Rural Minor Arterial,32.210344,-83.924751,2023,1630,Estimated,115,224,0.688,1,0.0944,0.62,2270,Short Term
"093-0047",5R : Rural Major Collector,32.086718,-83.770637,2023,4790,Actual,435,351,0.667,0.48,0.0849,0.6,6390,Short Term
"093-0049",5R : Rural Major Collector,32.086238,-83.734165,2023,830,Estimated,108,81,1.34,0.609,0.095,0.72,1310,Short Term
"093-0051",5R : Rural Major Collector,32.065196,-83.672727,2023,750,Actual,108,119,3.489,2.147,0.1221,0.54,1070,Short Term
"093-0053",5R : Rural Major Collector,32.044119,-83.626876,2023,630,Actual,97,53,4.287,0.953,0.1096,0.58,810,Short Term
"093-0055",5R : Rural Major Collector,32.198493,-83.904137,2023,410,Actual,30,9,1.447,0,0.1375,0.61,520,Short Term
"093-0057",5R : Rural Major Collector,32.077877,-83.957359,2023,660,Actual,53,85,0.301,1.204,0.1098,0.62,890,Short Term
"093-0059",5R : Rural Major Collector,32.128332,-83.941356,2023,300,Estimated,47,15,2.04,0,0.1122,0.55,620,Short Term
"093-0061",5R : Rural Major Collector,32.170111,-83.925195,2023,350,Actual,39,24,0.286,0.857,0.1057,0.54,560,Short Term
"093-0065",5R : Rural Major Collector,32.202014,-83.907927,2023,570,Actual,76,12,1.056,0.528,0.1038,0.51,720,Short Term
"093-0067",5R : Rural Major Collector,32.216133,-83.890194,2023,440,Actual,30,17,0.452,0.452,0.0813,0.53,600,Short Term
"093-0069",5R : Rural Major Collector,32.244314,-83.842352,2023,470,Estimated,38,23,0.65,0,0.0975,0.62,1150,Short Term
"093-0071",5R : Rural Major Collector,32.251391,-83.791169,2023,590,Actual,47,27,1.181,0.506,0.1029,0.54,800,Short Term
"093-0073",5R : Rural Major Collector,32.258151,-83.762286,2023,1180,Actual,133,59,0.935,0.34,0.0952,0.51,1940,Short Term
"093-0075",5R : Rural Major Collector,32.260452,-83.743859,2023,2300,Actual,136,55,0.608,0.304,0.0929,0.5,2900,Short Term
"093-0077",5R : Rural Major Collector,32.260385,-83.725926,2023,1460,Actual,141,79,0.891,0.069,0.0938,0.5,2290,Short Term
"093-0079",5R : Rural Major Collector,32.260055,-83.686180,2023,640,Actual,51,59,0,0.472,0.0944,0.58,870,Short Term
"093-0081",5R : Rural Major Collector,32.253998,-83.629497,2023,530,Actual,58,40,0.562,1.499,0.1143,0.54,920,Short Term
"093-0083",4R : Rural Minor Arterial,32.057709,-83.666403,2023,1610,Estimated,131,331,0.951,1.776,0.099,0.56,2200,Short Term
"093-0085",5R : Rural Major Collector,32.290736,-83.836351,2023,530,Estimated,54,69,0.384,2.112,0.0999,0.56,840,Short Term
"093-0087",5R : Rural Major Collector,32.258650,-83.779079,2023,540,Estimated,52,74,0.567,2.458,0.0908,0.52,680,Short Term
"093-0089",1R : Rural Principal Arterial - Interstate,32.057552,-83.763473,2023,57000,Calculated,,,,,,,86500,Short Term
"093-0091",1R : Rural Principal Arterial - Interstate,32.104800,-83.762800,2023,55400,Calculated,,,,,,,83000,Short Term
"093-0093",1R : Rural Principal Arterial - Interstate,32.157700,-83.754900,2023,55200,Calculated,,,,,,,82800,Short Term
"093-0095",1R : Rural Principal Arterial - Interstate,32.220100,-83.744100,2023,55200,Calculated,,,,,,,82700,Short Term
"093-0097",1R : Rural Principal Arterial - Interstate,32.253900,-83.747100,2023,55600,Calculated,,,,,,,83400,Short Term
"093-0099",1R : Rural Principal Arterial - Interstate,32.275700,-83.754227,2023,56100,Calculated,,,,,,,86900,Short Term
"093-0101",5R : Rural Major Collector,32.053285,-83.828804,2023,870,Actual,111,88,1.6,0.914,0.1097,0.54,1170,Short Term
"093-0103",5R : Rural Major Collector,32.079490,-83.805390,2023,990,Estimated,,,,,0.123,0.52,1290,Short Term
"093-0105",5R : Rural Major Collector,32.045371,-83.947489,2023,620,Estimated,,,,,0.094,0.57,800,Short Term
"093-0117",5R : Rural Major Collector,32.248786,-83.728023,2023,450,Estimated,,,,,,,570,Short Term
"093-0119",5R : Rural Major Collector,32.275770,-83.738445,2023,610,Estimated,,,,,0.1196,0.56,770,Short Term
"093-0125",6R : Rural Minor Collector,32.109208,-83.713247,2023,420,Estimated,,,,,0.1611,0.51,530,Short Term
"093-0127",5R : Rural Major Collector,32.061521,-83.767136,2023,200,Estimated,45,4,0.514,0,0.1182,0.52,250,Short Term
"093-0129",5R : Rural Major Collector,32.088699,-83.787642,2023,1580,Actual,109,35,0.38,0.063,0.1019,0.5,1990,Short Term
"093-0133",6R : Rural Minor Collector,32.212313,-83.910592,2023,290,Estimated,,,,,0.1084,0.64,370,Short Term
"093-0134",5R : Rural Major Collector,32.180241,-83.864527,2023,340,Actual,34,6,0.891,0,0.1959,0.73,430,Short Term
"093-0135",5R : Rural Major Collector,32.182692,-83.845055,2023,450,Estimated,46,16,1.352,0.225,0.1667,0.69,570,Short Term
"093-0137",5R : Rural Major Collector,32.188602,-83.770500,2023,560,Estimated,,,,,,,710,Short Term
"093-0139",5R : Rural Major Collector,32.192665,-83.751806,2023,1250,Actual,114,33,1.037,0.08,0.1229,0.56,1880,Short Term
"093-0143",5R : Rural Major Collector,32.201714,-83.699770,2023,640,Estimated,,,,,0.1374,0.66,1200,Short Term
"093-0145",5R : Rural Major Collector,32.229786,-83.634438,2023,410,Estimated,,,,,,,520,Short Term
"093-0147",5R : Rural Major Collector,32.178304,-83.646469,2023,120,Estimated,27,3,0.206,0.028,0.1234,0.5,150,Short Term
"093-0149",5R : Rural Major Collector,32.211362,-83.690659,2023,170,Estimated,16,2,1.173,0,0.1584,0.52,210,Short Term
"093-0155",5R : Rural Major Collector,32.101171,-83.741735,2023,980,Estimated,,,,,,,1710,Short Term
"093-0157",5R : Rural Major Collector,32.102340,-83.666307,2023,320,Actual,39,25,0.631,0,0.1135,0.72,410,Short Term
"093-0159",5R : Rural Major Collector,32.144048,-83.977912,2023,360,Estimated,26,49,0.567,1.417,0.1077,0.53,480,Short Term
"093-8001",7R : Rural Local,32.272312,-83.761060,2023,60,Estimated,,,,,,,80,Short Term
"093-8009",7R : Rural Local,32.193498,-83.827432,2023,70,Estimated,,,,,0.1727,0.54,140,Short Term
"093-8013",7R : Rural Local,32.144138,-83.759603,2023,50,Estimated,,,,,,,70,Short Term
"093-8019",7R : Rural Local,32.193793,-83.758651,2023,330,Estimated,,,,,,,420,Short Term
"093-8021",7R : Rural Local,32.225090,-83.695533,2023,20,Estimated,,,,,,,30,Short Term
"093-8027",6R : Rural Minor Collector,32.224183,-83.796098,2023,170,Estimated,,,,,0.1036,0.61,210,Short Term
"093-8031",7R : Rural Local,32.087734,-83.766450,2023,160,Estimated,,,,,,,200,Short Term
"093-8034",7R : Rural Local,32.271994,-83.902922,2023,280,Actual,17,16,0.715,0,0.1073,0.74,350,Short Term
"093-8035",6R : Rural Minor Collector,32.147957,-83.920556,2023,200,Estimated,21,7,3.468,0.495,0.1387,0.68,250,Short Term
"093-8043",7R : Rural Local,32.102893,-83.874236,2023,10,Estimated,3,0,16.221,0,0.2433,0.67,20,Short Term
"093-8045",7R : Rural Local,32.145326,-83.846270,2023,170,Estimated,28,3,2.42,1.21,0.248,0.88,340,Short Term
"093-8046",7R : Rural Local,32.153710,-83.826949,2023,20,Estimated,2,0,5.368,0,0.29,0.5,30,Short Term
"093-8047",7R : Rural Local,32.180694,-83.877160,2023,90,Estimated,14,2,8.434,0,0.149,0.8,110,Short Term
"093-8048",7R : Rural Local,32.202042,-83.883435,2023,10,Estimated,3,0,34.542,0,0.29,0.5,20,Short Term
"093-8049",7R : Rural Local,32.224087,-83.863622,2023,60,Estimated,12,12,3.321,4.982,0.1661,0.8,80,Short Term
"093-8050",6R : Rural Minor Collector,32.135960,-83.761238,2023,300,Estimated,33,3,2.697,0.674,0.1584,0.57,380,Short Term
"093-8052",7R : Rural Local,32.162850,-83.674471,2023,80,Estimated,11,5,1.421,5.683,0.1989,0.57,100,Short Term
"093-8053",7R : Rural Local,32.178280,-83.752023,2023,310,Estimated,33,9,0.967,0.322,0.1418,0.73,390,Short Term
"093-8056",7R : Rural Local,32.219493,-83.743921,2023,100,Estimated,12,4,1.053,0,0.1158,0.8,180,Short Term
"093-8059",7R : Rural Local,32.229282,-83.685358,2023,60,Estimated,9,3,0.114,0.048,0.1502,0.5,80,Short Term
"093-8062",7R : Rural Local,32.129865,-83.755186,2023,170,Estimated,28,4,0,1.198,0.1737,0.62,210,Short Term
"093-8063",7R : Rural Local,32.086058,-83.792461,2023,350,Estimated,,,,,0.1272,0.74,440,Short Term
"093-r001",1R : Rural Principal Arterial - Interstate,32.085418,-83.762771,2023,2040,Estimated,,,,,0.0852,1,2570,Short Term
"093-r002",1R : Rural Principal Arterial - Interstate,32.087617,-83.762744,2023,1370,Estimated,,,,,0.0776,1,1730,Short Term
"093-r003",1R : Rural Principal Arterial - Interstate,32.122310,-83.760559,2023,740,Estimated,,,,,0.0853,1,1020,Short Term
"093-r004",1R : Rural Principal Arterial - Interstate,32.124620,-83.760190,2023,610,Estimated,,,,,0.0989,1,770,Short Term
"093-r005",1R : Rural Principal Arterial - Interstate,32.190492,-83.747573,2023,720,Actual,,,,,0.0968,1,2160,Short Term
"093-r006",1R : Rural Principal Arterial - Interstate,32.192074,-83.747157,2023,760,Actual,,,,,0.0807,1,2150,Short Term
"093-r007",1R : Rural Principal Arterial - Interstate,32.249249,-83.742826,2023,720,Actual,,,,,0.085,1,910,Short Term
"093-r008",1R : Rural Principal Arterial - Interstate,32.249822,-83.743650,2023,1210,Actual,,,,,0.0896,1,1520,Short Term
"093-r009",1R : Rural Principal Arterial - Interstate,32.259505,-83.748788,2023,390,Estimated,,,,,0.0924,1,490,Short Term
"093-r010",1R : Rural Principal Arterial - Interstate,32.261442,-83.749454,2023,650,Estimated,,,,,0.0744,1,820,Short Term
"093-r601",1R : Rural Principal Arterial - Interstate,32.087633,-83.763638,2023,1400,Estimated,,,,,0.088,1,1760,Short Term
"093-r602",1R : Rural Principal Arterial - Interstate,32.085552,-83.763686,2023,2120,Estimated,,,,,0.102,1,2670,Short Term
"093-r603",1R : Rural Principal Arterial - Interstate,32.123606,-83.761316,2023,680,Estimated,,,,,0.102,1,1320,Short Term
"093-r604",1R : Rural Principal Arterial - Interstate,32.121850,-83.761673,2023,630,Estimated,,,,,0.0927,1,790,Short Term
"093-r605",1R : Rural Principal Arterial - Interstate,32.192732,-83.748097,2023,810,Estimated,,,,,0.073,1,2190,Short Term
"093-r606",1R : Rural Principal Arterial - Interstate,32.190592,-83.748434,2023,800,Actual,,,,,0.0859,1,2270,Short Term
